GENESIS-Tabelle: 61111-0002
Consumer price index (incl. rates of change):;;;;
Germany, months;;;;
Consumer price index for Germany;;;;
Germany;;;;
;;Consumer price index;Change on previous year's month;Change on previous month
;;2015=100;in (%);in (%)
2013;March;98.4;+1.3;+0.4
2013;April;98.0;+1.1;-0.4
2013;May;98.4;+1.7;+0.4
2013;June;98.5;+1.9;+0.1
2013;July;98.9;+1.9;+0.4
2013;August;98.9;+1.5;-
2013;September;98.9;+1.4;-
2013;October;98.7;+1.2;-0.2
2013;November;98.9;+1.3;+0.2
2013;December;99.3;+1.4;+0.4
2014;January;98.8;+1.4;-0.5
2014;February;99.2;+1.2;+0.4
2014;March;99.5;+1.1;+0.3
2014;April;99.4;+1.4;-0.1
2014;May;99.2;+0.8;-0.2
2014;June;99.5;+1.0;+0.3
2014;July;99.7;+0.8;+0.2
2014;August;99.8;+0.9;+0.1
2014;September;99.8;+0.9;-
2014;October;99.5;+0.8;-0.3
2014;November;99.5;+0.6;-
2014;December;99.5;+0.2;-
2015;January;98.5;-0.3;-1.0
2015;February;99.2;-;+0.7
2015;March;99.7;+0.2;+0.5
2015;April;100.2;+0.8;+0.5
2015;May;100.4;+1.2;+0.2
2015;June;100.4;+0.9;-
2015;July;100.6;+0.9;+0.2
2015;August;100.6;+0.8;-
2015;September;100.4;+0.6;-0.2
2015;October;100.4;+0.9;-
2015;November;99.7;+0.2;-0.7
2015;December;99.7;+0.2;-
2016;January;99.0;+0.5;-0.7
2016;February;99.3;+0.1;+0.3
2016;March;100.0;+0.3;+0.7
2016;April;100.1;-0.1;+0.1
2016;May;100.6;+0.2;+0.5
2016;June;100.7;+0.3;+0.1
2016;July;101.1;+0.5;+0.4
2016;August;101.0;+0.4;-0.1
2016;September;101.0;+0.6;-
2016;October;101.2;+0.8;+0.2
2016;November;100.5;+0.8;-0.7
2016;December;101.2;+1.5;+0.7
2017;January;100.6;+1.6;-0.6
2017;February;101.2;+1.9;+0.6
2017;March;101.4;+1.4;+0.2
2017;April;101.8;+1.7;+0.4
2017;May;101.8;+1.2;-
2017;June;102.1;+1.4;+0.3
2017;July;102.5;+1.4;+0.4
2017;August;102.6;+1.6;+0.1
2017;September;102.7;+1.7;+0.1
2017;October;102.5;+1.3;-0.2
2017;November;102.1;+1.6;-0.4
2017;December;102.6;+1.4;+0.5
2018;January;102.0;+1.4;-0.6
2018;February;102.3;+1.1;+0.3
2018;March;102.9;+1.5;+0.6
2018;April;103.1;+1.3;+0.2
2018;May;103.9;+2.1;+0.8
2018;June;104.0;+1.9;+0.1
2018;July;104.4;+1.9;+0.4
2018;August;104.5;+1.9;+0.1
2018;September;104.7;+1.9;+0.2
2018;October;104.9;+2.3;+0.2
2018;November;104.2;+2.1;-0.7
2018;December;104.2;+1.6;-
2019;January;103.4;+1.4;-0.8
2019;February;103.8;+1.5;+0.4
